index,Place_name,Address1,Hours,Phone,Location,Reviewscount,Total_score,website,Category,Claimed,Latitude,Longitude,Place_id,Cid,Featured_Image,reviewurl
1,"Food ways","ganeshmandir 14, Kathmandu 44600","Friday:[11 AM–8 PM],Saturday:[11 AM–8 PM],Sunday:[11 AM–8 PM],Monday:[11 AM–8 PM],Tuesday:[11 AM–8 PM],Wednesday:[11 AM–8 PM],Thursday:[11 AM–8 PM]","9808337778","https://www.google.com/maps?cid=13124541026910366311",2,5,"","Restaurant","no",27.6890663,85.29920589999999,"ChIJNUuXhBYZ6zkRZ2oI9Ya8I7Y","0x39eb191684974b35:0xb623bc86f5086a67","","https://search.google.com/local/reviews?placeid=ChIJNUuXhBYZ6zkRZ2oI9Ya8I7Y&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
2,"Unique Cafe","M7QX+CG4, विश्वविद्यालय पथ, Kathmandu 44600","Friday:[9 AM–10 PM],Saturday:[9 AM–10 PM],Sunday:[9 AM–10 PM],Monday:[9 AM–10 PM],Tuesday:[9 AM–10 PM],Wednesday:[9 AM–10 PM],Thursday:[9 AM–10 PM]","","https://www.google.com/maps?cid=1668741021773863019",9,3.4,"","Restaurant","no",27.6885019,85.2988262,"ChIJmZpYDUQY6zkRaxj0MB6PKBc","0x39eb18440d589a99:0x17288f1e30f4186b","https://lh3.googleusercontent.com/gps-proxy/ALd4DhH0FEmJulOhFgx7y2uAXFXLRYVhITCqEYu5B4ovpEkutKDy5aacKfYH9DNw4PbfvzKBVy20z_wMiJf38ufQdthL4sl6l37CTQ8LD6zUUvxX92xdbXgw56U4gG41bjeqEI94U6DjGdK4C9XotPAz0OSPPpX3wClHHyYLlxxKHCo02fIV6aXLnCkxWuL75QoWqMXFqQ","https://search.google.com/local/reviews?placeid=ChIJmZpYDUQY6zkRaxj0MB6PKBc&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
3,"Food Bagaan","Kathmandu 44600","Friday:[7 AM–10 PM],Saturday:[7 AM–10 PM],Sunday:[7 AM–10 PM],Monday:[7 AM–10 PM],Tuesday:[7 AM–10 PM],Wednesday:[7 AM–10 PM],Thursday:[7 AM–10 PM]","015906311","https://www.google.com/maps?cid=2896560708208002272",100,4.4,"","Asian restaurant","yes",27.7037393,85.3336351,"ChIJ5Y0ief0Z6zkR4IQXE56mMig","0x39eb19fd79228de5:0x2832a69e131784e0","https://lh5.googleusercontent.com/p/AF1QipMIBj3YcROjgmtlUayhrewv7PeqyU-vFmLwfEQZ","https://search.google.com/local/reviews?placeid=ChIJ5Y0ief0Z6zkR4IQXE56mMig&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
4,"DG cafe","M7RX+CGH, University Path, Kathmandu 44600","","","https://www.google.com/maps?cid=8655677759039585736","","","","Restaurant","no",27.691051899999998,85.2988519,"ChIJjZf8PncZ6zkRyL3N5Q8lH3g","0x39eb19773efc978d:0x781f250fe5cdbdc8","",""
5,"Chicken Station Maitidevi","P83M+FCR, Bhanu Galli, Kathmandu 44600","Friday:[9 AM–9 PM],Saturday:[9 AM–9 PM],Sunday:[9 AM–9 PM],Monday:[9 AM–9 PM],Tuesday:[9 AM–9 PM],Wednesday:[9 AM–9 PM],Thursday:[9 AM–9 PM]","9851359866","https://www.google.com/maps?cid=11650639765423893755",32,3.3,"","Chicken restaurant","no",27.7037467,85.3335077,"ChIJufujmj8Z6zkR-6whkCNjr6E","0x39eb193f9aa3fbb9:0xa1af63239021acfb","https://lh5.googleusercontent.com/p/AF1QipP-C0AVKurxM882MToSRd64iunz9lYIp66_faxn","https://search.google.com/local/reviews?placeid=ChIJufujmj8Z6zkR-6whkCNjr6E&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
6,"Maitidevi Burger House And Crunchy Fried Chicken - Maitidevi","P83M+95R, Birendra Marg, Kathmandu 44600","","9762790926","https://www.google.com/maps?cid=2940016869305563345",17,1.7,"","Restaurant","no",27.7034129,85.333854,"ChIJ97LJmbkZ6zkR0TidCMQJzSg","0x39eb19b999c9b2f7:0x28cd09c4089d38d1","https://lh5.googleusercontent.com/p/AF1QipMN5-rSt0xymMbc2IRLzxOfJw2LuXw_FJthR_vk","https://search.google.com/local/reviews?placeid=ChIJ97LJmbkZ6zkR0TidCMQJzSg&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
7,"Yo Momo","P84M+5JG next to Maitidevi Temple, Kathmandu 44600","","9704569442","https://www.google.com/maps?cid=1773894687787356505",4,5,"yomomo.com.np","Restaurant","no",27.7054431,85.3340632,"ChIJY4QfAaAZ6zkRWZGE7tEjnhg","0x39eb19a0011f8463:0x189e23d1ee849159","https://lh5.googleusercontent.com/p/AF1QipP-J-LehOcSL_3FdE6JkwP1N_rlV-24pUk1DdDE","https://search.google.com/local/reviews?placeid=ChIJY4QfAaAZ6zkRWZGE7tEjnhg&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
8,"Kaulachhen Newari Khaja Ghar","Pashupati Sadak, Ktm 44600","Friday:[9 AM–9 PM],Saturday:[9 AM–9 PM],Sunday:[9 AM–9 PM],Monday:[9 AM–9 PM],Tuesday:[9 AM–9 PM],Wednesday:[9 AM–9 PM],Thursday:[9 AM–9 PM]","9816339767","https://www.google.com/maps?cid=12612987811962614989",38,4.1,"","Traditional restaurant","yes",27.708084099999997,85.3348956,"ChIJoRwYmHwZ6zkRzfRcqJZVCq8","0x39eb197c98181ca1:0xaf0a5596a85cf4cd","https://lh5.googleusercontent.com/p/AF1QipOBL-Bw4GRan84WfTQKJpzoApNI0TNONVqRZQtb","https://search.google.com/local/reviews?placeid=ChIJoRwYmHwZ6zkRzfRcqJZVCq8&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
9,"The Kitchen Cafe","P84M+FF8 Opposite of Maitidevi temple, Kathmandu 44600","Friday:[7:30 AM–8 PM],Saturday:[7:30 AM–8 PM],Sunday:[7:30 AM–8 PM],Monday:[7:30 AM–8 PM],Tuesday:[7:30 AM–8 PM],Wednesday:[7:30 AM–8 PM],Thursday:[7:30 AM–8 PM]","9765979335","https://www.google.com/maps?cid=11737633021709164366",3,5,"","Fast food restaurant","no",27.706152499999998,85.3337074,"ChIJmTYFJQAZ6zkRTp_eagtz5KI","0x39eb190025053699:0xa2e4730b6ade9f4e","https://lh5.googleusercontent.com/p/AF1QipMXzofWBQflopODLNcNtJ5OslmMqibMfY9FTFdH","https://search.google.com/local/reviews?placeid=ChIJmTYFJQAZ6zkRTp_eagtz5KI&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
10,"Maitidevi Fast Food and stick food","Maitidevi-29, Kathmandu 44600","","","https://www.google.com/maps?cid=9005488880397317631","","","","Fast food restaurant","no",27.702810399999997,85.3342371,"ChIJKzsXYgAZ6zkR__XPcGzs-Xw","0x39eb190062173b2b:0x7cf9ec6c70cff5ff","https://lh5.googleusercontent.com/p/AF1QipOZs4ZKrQWID845BG121ZvfCfGDz6ozkL6uy7Kg",""
